,c1,Cost of living,Housing cost,Housing,Homelessness,Crime,Drugs and addiction,Jobs and employment,Parks and green spaces,Transit,Walkability,Safety,Downtown,Social services and supports,Traffic,Programs for children,Programs for seniors,Programs for persons with disabilities,People and sense of community,Condition of roads and sidewalks,Recreational facilities and programs,Events and attractions,Health care,Schools and education,Child care,City governance,Local businesses,Entertainment/amenities,Weather,Taxes
124,"I would like to see more available for those living on fixed budgets or limited incomes. The ride transit and leisure access programs are a good start, however for some, as in my case, transit to the leisure centers is simply unavailable to too cumbersome to navigate to make effective use.  More low income housing closer to these facilities would be a welcome change. As well as making it easier for older people to qualify, not just families.",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,"I don't have any to share everything good so far I see,seems good neighborhood area and good people there",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
127,"no, because it's already full",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Keep our community helpers happy and recognized.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
129,Nothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Their education efforts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
131,Fix the LRT safety,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,"Pan handling and the homeless population is getting worse - we need to do something about it, and the first step is getting more affordable housing.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,More investment in green energy and tech.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,homelessness is an issue where I live and at times it feels unsafe. There appears to be a larger quantity of folks on drugs and possible mental health issues living in tents or constructed shelters. this has brought crime and even a death,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,It's really disappointing how dangerous and run down this city has become. And there's far more urgent priorities than rogers place and fancy Rec centres,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
136,There seems to be an increase in neighbourhood theft that I do not hear the police or the city commenting on or doing anything about.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,I think security and safety are very important for quality of life and there are a few places that could use a lot more security so people can feel safe in their daily travels,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,more public safety,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,"Crime downtown is out of control. Homeless everywhere, tents and garbage everywhere. Multiple stabbings and assaults are not acceptable. Homeless shouldn't mean you are lawless.",0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,We have a real housing problem in Edmonton. There should be much more affordable housing availability and low cost rental units for lower income residents.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Downtown is depressing. I was disappointed to hear that parking fees are increasing. That is not going to help downtown get better. People are being forced to go back to work when they can work from home. It is expensive and frightening.,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,"Overall pretty fairly run city. I believe that more funding should be put into helping the homeless with shelter, addictions and basic necessities, but I think that needs to compensated more by the province opposed to the city",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
143,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Pay more attention to environmental greening,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,"I hope the city is more beautiful, the environment is better, and there are more job opportunities",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Less money going towards bike lanes and More money going towards road maintenance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
147,I hope the government will improve some administrative systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
148,"Let as many people as possible, have enough food, have clothes to wear, and build a wonderful community.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
149,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Not sure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Look after homeless people with more low cost housing.,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,More garbage and recycling bins throughout the city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Nope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Nothing. Everything seems to be on track with the exception of healthcare which is not municipal.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
156,More yard waste collection dates.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,"Evaluate the need of LRT, based on the need especially during Saturday and Sunday.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,No particular reasons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Nothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,The garbages in the public parks are always overflowing because they do not get emptied soon enough and people also just throw their trash all over.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,We should have more transit route,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,The pay for average person at minimum pay is not able to cope up with the inflation. Debt doubled up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Safer bike baths in communties,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,"No, I am happy and content with the services provided",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Drivers frequently exceed speed limits on some roads in the city to save time and some drivers feel unsafe to drive for it seems like car racing.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,everything about it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,"more panhandlers, drug users, homeless camps, in areas where they didn't use to be, eg south side. Crime of opportunities in areas where there wasn't any. Downtown degraded, more crime, way more druggies, try not to go down as I don't enjoy, quite shopping at City Centre, high property taxes,",0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
169,Need to really reconsider what they spend money on.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
170,More investmentchannelledto health sector.The long lines are getting worrisome.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
171,There are too many people drinking in the creek and river valleys and setting off fireworks and littering.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,No comments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Homelessness is rampant and needs to be addressed. It's devastating how it has changed our downtown after so many years of trying to revitalize it now feels like an unsafe and unwanted place to be,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,"The website for registration for program needs work. The search field and filter area could be updated. The traffic allowance on registration days needs to be opened up more and tested, and notice to already registered people for the next class",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
175,"By helping the homeless and drug addicts here in the city more instead of pushing the homeless from one district to another give them home to live in. Remember there are building here you's don't use. Why not start with some place save for them to live in,one of the city owned building. We need to deal with this matter very soon. It's getting worse.",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Really need to put more emphasis on housing for low income or homeless folks.,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,"too many construction projects underway. roads are ripped up and then left without any further action for months, sometimes years (e.g. west end lrt). current projects should be reviewed and either cancelled or put on hold e.g. mill woods lrt - clearly the city does not have the where with all to project manage large initiatives and should stop the ones currently in progress until they can get their act together. EPCOR is another issue. the same sewers and pipes are worked on repeatedly with no progress (e.g. 105 street - same piece of road has been ripped up four times - some times for more than a year without any progress, e.g. 97ave and 105 street - road has been ripped up every year for 27 years at least twice a year - again no progress issues still exist. These are only two examples there are hundreds of these throughout the city. EPCOR needs to get there act together and fix their probems once rather than 15 - 20 times.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
179,The city needs to offer services for all and find away to let people know of them if you're a senior or low income resident not in services then you hear nothing can't get access to a computer too bad you can't access the information communication is terrible,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
180,Travel on roadways are blocked due to construction and non coordination of traffic lights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
181,I have called the city MANY times to make new sidewalks on Jasper Avenue between 117 St and 119 St to aid walking as they are very broken & dangerous. All that was done was patching which has broken up. Please please came & do these sidewalks SOON before someone sues the CITY for damages.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
182,The City needs to coordinate other levels of government to provide more housing for houseless people. Shelters are not the answer. The City also needs to have safe injection sites. Too many lives are being lost.,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,"Something to be done about the camps downtown, pot holes and regular grass cutting in city parks. Going downtown is not a pleasure anymore. If you'd like us to venture downtown the parking is until 10 PM. How does this make sense?",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
184,"Why are we putting into affect on July 1 the requirement in regards to napkins, condiments, paper bag charges and etc. Are you trying to force companies out of business????",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
185,I love my community but admit there are increasing numbers of people 'œout and about' in it who don't reside here. It's a little worrisome.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
186,311 staff are very helpful.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,I am seeing homelessness much more and I do not blame the people but I blame the city. More needs to be done.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
188,"I don't feel safe walking on Whyte Ave or anywhere downtown. Also if the city wants us to ""go downtown"" more often, then stop making us pay for parking on Sundays!!!",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,The efforts to clean up the downtown area are noticeable.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Please get the Valley Line LRT moving. There is so much congestion on 82 ave and 83 St while testing is taking place. Not only as drivers do have to stop for trains there are as many buses as every. GET THE TRAIN OPEN!!!,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,"stay close to home ,dont have much of opinion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Not at this time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Increase affordable housing for seniors,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
195,I think thar the programs should be publicized for everyone so we can use the ones that are right for us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
196,Roads and sidewalks in our neighbourhood are terrible. Roads through out our city are not very well maintained for motorcycle riders. Homeless and transiants have increased in our neighourhood since forced to leave downtown. Crime has increased.,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
197,"Some neighborhoods need to have sidewalks repaired as they are a danger to people with ;mobility issues and also maintenance of neighborhood walkways. There should be no need for city employees to come in and ""butcher"" them when residents are maintaining them and keeping them cleaned and mowed.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
198,"As stated previously, I find all the city-owned recreational programs too expensive to access especially for seniors on limited incomes.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
199,bring/ down/ utility/ costs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,"I would like to know how much our our tax payers dollars are being spent 7 days per week, training on the downtown lrt that cant go anywhere, i work downtown and get angry everyday that i see my tax payer dollars being wasted on running a train that goes nowhere, yet our downtown streets are full of very scary drugs, homeless and basically an unsafe environment for anyone to be in. The priorities are so out of wack that it's appalling",0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
201,Nothing at this time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,The city council needs to do better over all. They spend money on things that really don't help the communities and then don't fix what really needs to be fixed.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
203,Bring back the bus service we had a few years ago. The service in a lot of areas has been cut back drastically forcing elderly people to either pay for a taxi or walk blocks to get to their stop. This was a very bad decision.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
204,I know services will cost more in the future and I may not like it but I do understand when taxes go up. If we want to maintain what we have or improve 5he money has to come from somewhere. I do believe that certain groups could use some breaks like discount for seniors.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
205,211 & 311 phone numbers can be very helpful in finding out info for questions about the City of Edmonton services.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
206,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,be more cautious and responsible when hiring contractors to complete construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,"I would like the city to make common sense vs political choices when it comes to spending and stop comparing us with other cities, make decisions based on needs vs the optics.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
209,House the homeless now,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,Focus on saving money for people not raising taxes for pet projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
211,nothing really to say here,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,The only issues i have are the rising amount of drug use and crime on the lrt system and the city going with the lowest bidders for building extensions on the lrt which has led to muti year delays on both the extension to nait and the valley line,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
213,Not at all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,"Post office boxes are being broken into all across the City, and there's no enforcement or follow up from local police",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,"The police force has been on the back burner for years, in terms of Pride being shunned and cancelled because there wasn't enough security, because Edmonton is still pretty homophobic when it matters. The recreational centres aren't safe, and considering the one that makes the most money; Claireview, without a single shred of security where when I visited the last time, the security guards glasses were broken, was assaulted, and as a community we watched as poilce arrived. The whole ordeal has been one in the last 5 times I've come where poilce has been called. If this recreational centre does in fact make the most money it's disgusting that the security of these people are second rate. The security guards wanted to quit because of the lack of support. These people are running a rec centre, not a correctional facility. My brother who works at the Max in Fort Sask deals with the same type of criminal activity from murderers and rapists. Lifeguards and basketball court security guards should not.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
216,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,I hope the mayor can make the city better,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Edmonton is very warm in my heart.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,It is recommended to increase the number of urban parks and green spaces to improve the quality of life of residents.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,I'm happy to share.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,"Hopefully, its social concerns can be improved and its infrastructure can be increased",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,Many people in our community have been taken care of by charities,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,I like the excellent educational resources here best.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
225,I like it here because it is surrounded by beautiful natural scenery.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Edmonton is my favorite city.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,I think they should focus on renewable energy and renewable sources of electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,I want to see more attractions and things that will put Edmonton on the map to visit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
230,I am seeing much more homelessness and drug use. I feel we should use our financial service to help with this problem instead of ignoring it or putting it in a LRT system we don't need.,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
231,Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,"No overall the city is great, Edmonton is still a developing city and sooner or later it will be a more outstanding place to live in.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,"No, my only real complaint is public transport. Everything else is good.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,I feel that some of the streets are poorly desighned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
235,Can increase the convenience service points in the community,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,"Can provide some community assistance, and also the safety of the community at night.",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,There is usually an abundance of traffic nearby anyone of the tracks near a traffic stop because of the new lrt,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,I feel very good.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,Should take the black garbage bins every week not every 2 weeks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,The homelessness is a problem that needs to be address. Camps downtown and people lying in bus stops and near stops is not good for the people in need or the people around it.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,get rid of potholes!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
243,"Better transit system, better hockey team",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,No but thank you.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,I would just like the City of Edmonton to do more for the down and out such as the homeless and those affected with substance abuse. Businesses don't feel safe and no longer do common people.,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,"It's no different in any other city, but the homelessness/drug epidemic seriously needs improving.",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Bridge on Jasper avenue has been under maintenance and closed for almost a year!!.. Homeless in city center area must be removed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
248,Bad drivers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,"The homelessness/drug epidemic is out of control, and should be a primary focus.",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,potholes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
251,A step back from focusing on the police as the main tool for community safety and a move to empower other groups to serve those in need.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,I live around thr Stadium and would appreciate more bike police.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,Funding for road construction and community safety measures could be appropriately increased.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
255,the top,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,this is a livable city with fresh air modern life.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,It can strengthen people's awareness of environmental protection and establish environmental protection sites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Socio-economic equality,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,cheap,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,more community activities.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
262,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Need more security and police involvement on the lrt. Currently not safe to ride on.,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,I don't believe I have anything extra to add at this time.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,The city needs to learn from,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
266,more public sport spaces like pickleball courts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
267,82 st should have on/off ramps to the Henday.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,Why has 66th steer not been double lanes right to the Henday? It's ridiculous. I spend more time just getting to the Henday trying to drive to work than I do on the agenda now. That 66th steer hasn't been double lanes yet is an absolute farce when I go to the south side of Edmonton and I see all the road construction there!!!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,Better maintenance of the boulevards along streets.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
271,Put more things to do for families with children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
272,"People on disability should make more money, for working there job. Especially if they are never late and show up everyday.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
